GA ID,SURV_CODE,SURVEY_NAME,DATA_TYPE,VESSEL,START_DATE,END_DATE,START_PORT,END_PORT,DATA_OWNER,SYSTEM,TVU,Licence
GA2392,EW9510,WoodlarkBasin,multibeam,RV Maurice Ewing,28/09/1995,15/10/1995,Kaohsiung,Honiara,LDEO,Thompson Marconi TSM 5265,IHO S44 1b,Geoscience Australia
GA2320,EW9511,SolomonIslands,multibeam,RV Ewing,16/10/1995,18/11/1995,Honiara,Suva,LDEO,Atlas Hydrosweep (16 kHz),IHO S44 1b,Geoscience Australia
GA2364,EW9910,WoodlarkBasin,multibeam,RV Ewing,30/08/1999,15/09/1999,Agana,Lae,LDEO,Atlas Hydrosweep (16 kHz),IHO S44 1b,Geoscience Australia
GA2322,EW9911,WoodlarkBasin,multibeam,RV Ewing,18/09/1999,21/10/1999,Lae,Townsville,LDEO,Atlas Hydrosweep (16 kHz),IHO S44 1b,Geoscience Australia
GA2324,EW9914,LauBasin,multibeam,RV Ewing,2/12/1999,28/12/1999,Townsville,Lyttleton,LDEO,Atlas Hydrosweep (16 kHz),IHO S44 1b,Geoscience Australia
GA4443,FK150324,ScottReef,multibeam,RV Falkor,24/03/2015,6/04/2015,Broome,Broome,Uni Sydney,Kongsberg EM710 (30 kHz),IHO S44 1b,Geoscience Australia
GA4446,FK150410,TimorSea,multibeam,RV Falkor,10/04/2015,4/05/2015,Broome,Darwin,Schmidt Ocean Institute,Kongsberg EM710 (30 kHz)/EM302 (30 kHz),IHO S44 1b,Geoscience Australia
,FK200409,BroomeCairnsEM302,multibeam,RV Falkor,16/04/2020,18/04/2020,Broome,Cairns,SOI,Kongsberg EM302 (30 kHz),IHO S44 1b,Schmidt Ocean Institute
,FK200429,CairnsCairnsEM302,multibeam,RV Falkor,29/04/2020,11/06/2020,Cairns,Cairns,SOI,Kongsberg EM302 (30 kHz),IHO S44 1b,Schmidt Ocean Institute
,FK200930,BrisbaneBrisbaneEM302,multibeam,RV Falkor,2020/0930,16/11/2020,Brisbane,Darwin,SOI,Kongsberg EM302 (30 kHz),IHO S44 1b,Schmidt Ocean Institute
,FK200930,BrisbaneBrisbaneEM710,multibeam,RV Falkor,2020/0930,16/11/2020,Brisbane,Darwin,SOI,Kongsberg EM710 (70/100 kHz),IHO S44 1b,Schmidt Ocean Institute
,FK210321,BrisbaneDarwinEM302,multibeam,RV Falkor,21/03/2021,4/04/2021,Brisbane,Darwin,SOI,Kongsberg EM302 (30 kHz),IHO S44 1b,Schmidt Ocean Institute
,FK210321,BrisbaneDarwinEM710,multibeam,RV Falkor,21/03/2021,4/04/2021,Brisbane,Darwin,SOI,Kongsberg EM710 (70/100 kHz),IHO S44 1b,Schmidt Ocean Institute
,FK210501,DarwinHawaiiEM302,multibeam,RV Falkor,1/05/2021,6/05/2021,Darwin,Hawaii,SOI,Kongsberg EM302 (30 kHz),IHO S44 1b,Schmidt Ocean Institute
,FK210501,DarwinHawaiiEM710,multibeam,RV Falkor,1/05/2021,6/05/2021,Darwin,Hawaii,SOI,Kongsberg EM710 (70-100 kHz),IHO S44 1b,Schmidt Ocean Institute
GA0234,FR012002,TorresStraitCRC,multibeam,RV Franklin,22/01/2002,6/02/2002,Brisbane,Cairns,Geoscience Australia,Reson Seabat 8101 (240 kHz),IHO S44 1b,Geoscience Australia
GA4423,Gardline,BaliDarwin,multibeam,MV Duke,17/07/2013,1/08/2013,Bali,Darwin,Gardline P/L,Kongsberg EM302D (30 kHz),IHO S44 1b,Geoscience Australia
GA2361,GATOPAS,TopasTrial,multibeam,RV Southern Surveyor,9/12/2004,10/12/2004,Brisbane,Brisbane,GA,Simrad EM300 (30 kHz),IHO S44 1b,Geoscience Australia
,GBR201107,,multibeam,RV Cape Ferguson,17/08/2011,25/07/2011,Cape Ferguson,Cape Ferguson,AIMS,Imagenix Delta-T (260 kHz),IHO S44 1b,
,GBRSeabed,Biodiversity,singlebeam,RV Lady Basten,17/09/2003,28/11/2005,Townsville,Townsville,Qld DAF/CSIRO,Simrad EY500 (120 kHz),IHO S44 2,CSIRO
,GeoMapApp,IndonesiaSBES,singlebeam,various,various,various,various,various,GeoMapApp,various,IHO S44 2,unknown
,GeoMapApp,SubantarcticSBES,singlebeam,various,various,various,various,various,GeoMapApp,various,IHO S44 2,unknown
,GeoMapApp,CapelBankSBES,singlebeam,various,various,various,various,various,GeoMapApp,various,IHO S44 2,unknown
,GeoMapApp,PNGNorthSBES,singlebeam,various,various,various,various,various,GeoMapApp,various,IHO S44 2,unknown
GA0352,Gippsland2D,BrisbaneBrisbaneEM302,multibeam,MV Duke,6/04/2015,24/04/2015,Brisbane,Brisbane,GA,EM302 (30 kHz),IHO S44 1a,AusSeabed
GA0352,Gippsland2D,BrisbaneBrisbaneEM2040,multibeam,MV Duke,6/04/2015,24/04/2015,Brisbane,Brisbane,GA,EM2040 (300 kHz),IHO S44 1a,AusSeabed
,GNSS,CORS,elevation,na,na,na,na,na,GA,CORS,0.2,Geoscience Australia
GA2249,HBR2001C,ScottReef,multibeam,RV Petr Kottsov,6/12/2001,5/01/2002,Singapore,Singapore,BHP,Kongsberg EM12S (13 kHz),IHO S44 1b,Geoscience Australia
GA4484,IN2015_C01,GABGeologyEM122,multibeam,RV Investigator,22/10/2015,27/11/2015,Hobart,Port Lincoln,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1a,CSIRO
,IN2015_T01,HobartSydneyEM122,multibeam,RV Investigator,10/05/2015,13/05/2015,Hobart,Sydney,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1a,CSIRO
,IN2015_T02,SydneyHobartEM122,multibeam,RV Investigator,21/06/2015,24/06/2015,Sydney,Hobart,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1a,CSIRO
,IN2015_V02,SydneyBrisbaneEM122,multibeam,RV Investigator,16/05/2015,24/05/2015,Sydney,Brisbane,MNF,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
,IN2015_V03,BrisbaneSydneyEM710,multibeam,RV Investigator,2/06/2015,17/06/2015,Brisbane,Sydney,MNF,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2015_V03,BrisbaneSydneyEM122,multibeam,RV Investigator,2/06/2015,17/06/2015,Brisbane,Sydney,MNF,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
,IN2016_E02,SydneyHobartEM122,multibeam,RV Investigator,16/12/2016,20/12/2016,Sydney,Hobart,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1a,CSIRO
,IN2016_T01,NadiHobartEM122,multibeam,RV Investigator,30/06/2016,13/07/2016,Nadi,Hobart,USydney,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
,IN2016_T02,HobartSydneyEM122,multibeam,RV Investigator,25/08/2016,28/08/2016,Hobart,Sydney,CSIRO,Kongsberg EM122 (12 kHz),IHO S44 1a,CSIRO
,IN2016_T02,HobartSydneyEM710,multibeam,RV Investigator,25/08/2016,28/08/2016,Hobart,Sydney,CSIRO,Kongsberg EM710 (70-100 kHz),IHO S44 1a,CSIRO
,IN2016_V04,SydneyBrisbaneEM710,multibeam,RV Investigator,31/08/2016,21/09/2016,Sydney,Brisbane,UTS,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2016_V04,SydneyBrisbaneEM122,multibeam,RV Investigator,31/08/2016,21/09/2016,Sydney,Brisbane,UTS,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
,IN2016_V05,BrisbaneBrisbaneEM710,multibeam,RV Investigator,27/09/2016,24/10/2016,Brisbane,Sydney,JCU,Kongsberg EM710 (70/100 kHz),IHO S44 1b,CSIRO
,IN2016_V05,BrisbaneBrisbaneEM122,multibeam,RV Investigator,27/09/2016,24/10/2016,Brisbane,Sydney,JCU,Kongsberg EM122 (12 kHz),IHO S44 1b,CSIRO
